"outbound_cli","attempt_band","attempts","risk_pct"
"+27770977254","1","72","0.00"
"+27770977254","10+","12","0.00"
"+27770977254","2-3","246","15.04"
"+27770977254","4-5","691","6.37"
"+27770977254","6-10","3906","28.83"
"+27872848841","1","68","0.00"
"+27872848841","10+","3","0.00"
"+27872848841","2-3","240","17.50"
"+27872848841","4-5","715","6.99"
"+27872848841","6-10","3972","37.29"
"+27872848851","1","56","0.00"
"+27872848851","10+","7","14.29"
"+27872848851","2-3","224","15.63"
"+27872848851","4-5","721","10.26"
"+27872848851","6-10","4076","37.44"
"+27872848852","1","60","0.00"
"+27872848852","2-3","232","17.24"
"+27872848852","4-5","698","8.74"
"+27872848852","6-10","4060","37.93"
"+27872848853","1","55","0.00"
"+27872848853","10+","31","3.23"
"+27872848853","2-3","216","14.81"
"+27872848853","4-5","726","8.68"
"+27872848853","6-10","4009","38.36"
\0,"1","23","0.00"
\0,"10+","165","0.00"
\0,"2-3","17","0.00"
\0,"4-5","9","0.00"
\0,"6-10","37","0.00"
