campaign_name,outbound_cli,attempt_band,attempts,auto_dial_disc,temp_disc,congested,auto_dial_pct,temp_disc_pct,congested_pct,risk_pct
NMS Waiver,27124934236,03-Feb,19,15,0,0,78.95,0,0,78.95
NMS Waiver,27124934236,05-Apr,32,2,2,0,6.25,6.25,0,12.5
NMS Waiver,27210181715,1,1280,361,0,0,28.2,0,0,28.2
NMS Waiver,27210181715,10+,145,0,0,0,0,0,0,0
NMS Waiver,27210181715,03-Feb,12140,4732,384,0,38.98,3.16,0,42.14
NMS Waiver,27210181715,05-Apr,36564,4889,2655,6,13.37,7.26,0.02,20.65
NMS Waiver,27210181715,10-Jun,6615,660,393,1,9.98,5.94,0.02,15.93
NMS Waiver,27770977054,10+,43,0,0,0,0,0,0,0
NMS Waiver,27770977054,03-Feb,82,1,1,0,1.22,1.22,0,2.44
NMS Waiver,27770977054,05-Apr,417,19,19,0,4.56,4.56,0,9.11
NMS Waiver,27770977054,10-Jun,179,2,0,0,1.12,0,0,1.12
NMS Waiver,27770977258,1,8186,2502,3,0,30.56,0.04,0,30.6
NMS Waiver,27770977258,10+,51905,3796,3925,0,7.31,7.56,0,14.88
NMS Waiver,27770977258,03-Feb,41571,12363,670,0,29.74,1.61,0,31.35
NMS Waiver,27770977258,05-Apr,83685,9086,2746,4,10.86,3.28,0,14.14
NMS Waiver,27770977258,10-Jun,153656,14330,6906,7,9.33,4.49,0,13.83
NMS Waiver,27770977259,1,8129,2455,1,0,30.2,0.01,0,30.21
NMS Waiver,27770977259,10+,52504,3855,4112,0,7.34,7.83,0,15.17
NMS Waiver,27770977259,03-Feb,41919,12395,700,0,29.57,1.67,0,31.24
NMS Waiver,27770977259,05-Apr,83346,9162,2676,4,10.99,3.21,0,14.21
NMS Waiver,27770977259,10-Jun,153704,14215,6985,4,9.25,4.54,0,13.8
NMS Waiver,27872848832,1,7623,2745,0,0,36.01,0,0,36.01
NMS Waiver,27872848832,10+,52370,4741,4282,2,9.05,8.18,0,17.23
NMS Waiver,27872848832,03-Feb,43427,15762,1405,0,36.3,3.24,0,39.53
NMS Waiver,27872848832,05-Apr,82119,10631,5458,5,12.95,6.65,0.01,19.6
NMS Waiver,27872848832,10-Jun,152820,15356,10962,19,10.05,7.17,0.01,17.23
NMS Waiver,27872848846,1,7512,2750,0,0,36.61,0,0,36.61
NMS Waiver,27872848846,10+,52699,4865,4272,1,9.23,8.11,0,17.34
NMS Waiver,27872848846,03-Feb,43631,15712,1371,1,36.01,3.14,0,39.16
NMS Waiver,27872848846,05-Apr,82226,10471,5385,7,12.73,6.55,0.01,19.29
NMS Waiver,27872848846,10-Jun,152672,15365,11071,16,10.06,7.25,0.01,17.33
NMS Waiver,27872848847,1,7366,2638,0,0,35.81,0,0,35.81
NMS Waiver,27872848847,10+,52726,4782,4341,0,9.07,8.23,0,17.3
NMS Waiver,27872848847,03-Feb,43369,15786,1420,0,36.4,3.27,0,39.67
NMS Waiver,27872848847,05-Apr,82454,10776,5380,3,13.07,6.52,0,19.6
NMS Waiver,27872848847,10-Jun,152910,15315,10956,15,10.02,7.16,0.01,17.19
NMS Waiver,27872848848,1,7314,2772,0,0,37.9,0,0,37.9
NMS Waiver,27872848848,10+,52698,4883,4273,1,9.27,8.11,0,17.38
NMS Waiver,27872848848,03-Feb,43062,15532,1403,0,36.07,3.26,0,39.33
NMS Waiver,27872848848,05-Apr,82370,10735,5273,4,13.03,6.4,0,19.44
NMS Waiver,27872848848,10-Jun,153854,15569,11075,15,10.12,7.2,0.01,17.33
NMS Waiver,\0,1,2141,0,0,0,0,0,0,0
NMS Waiver,\0,10+,9624,0,0,0,0,0,0,0
NMS Waiver,\0,03-Feb,2204,0,0,0,0,0,0,0
NMS Waiver,\0,05-Apr,1686,0,0,0,0,0,0,0
NMS Waiver,\0,10-Jun,1648,0,0,0,0,0,0,0
Vodacom Device New Connections,27124934236,1,267,0,0,0,0,0,0,0
Vodacom Device New Connections,27124934236,10+,22194,0,0,0,0,0,0,0
Vodacom Device New Connections,27124934236,03-Feb,480,0,0,0,0,0,0,0
Vodacom Device New Connections,27124934236,05-Apr,404,0,0,0,0,0,0,0
Vodacom Device New Connections,27124934236,10-Jun,1099,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977250,1,302,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977250,10+,16913,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977250,03-Feb,844,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977250,05-Apr,799,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977250,10-Jun,1529,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977251,1,301,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977251,10+,16928,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977251,03-Feb,834,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977251,05-Apr,872,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977251,10-Jun,1480,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977270,1,8,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977270,10+,647,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977270,03-Feb,25,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977270,05-Apr,12,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977270,10-Jun,41,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977271,1,6,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977271,10+,658,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977271,03-Feb,30,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977271,05-Apr,11,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977271,10-Jun,38,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977272,1,8,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977272,10+,619,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977272,03-Feb,36,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977272,05-Apr,33,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977272,10-Jun,42,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977273,1,12,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977273,10+,636,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977273,03-Feb,26,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977273,05-Apr,27,0,0,0,0,0,0,0
Vodacom Device New Connections,27770977273,10-Jun,31,0,0,0,0,0,0,0
Vodacom Device New Connections,27872848838,1,365,0,0,0,0,0,0,0
Vodacom Device New Connections,27872848838,10+,16650,0,0,0,0,0,0,0
Vodacom Device New Connections,27872848838,03-Feb,866,0,0,0,0,0,0,0
Vodacom Device New Connections,27872848838,05-Apr,811,0,0,0,0,0,0,0
Vodacom Device New Connections,27872848838,10-Jun,1323,0,0,0,0,0,0,0
Vodacom Device New Connections,27872848839,1,328,0,0,0,0,0,0,0
Vodacom Device New Connections,27872848839,10+,16784,0,0,0,0,0,0,0
Vodacom Device New Connections,27872848839,03-Feb,792,0,0,0,0,0,0,0
Vodacom Device New Connections,27872848839,05-Apr,779,0,0,0,0,0,0,0
Vodacom Device New Connections,27872848839,10-Jun,1421,0,0,0,0,0,0,0
Vodacom Device New Connections,\0,1,21,0,0,0,0,0,0,0
Vodacom Device New Connections,\0,10+,401,0,0,0,0,0,0,0
Vodacom Device New Connections,\0,03-Feb,81,0,0,0,0,0,0,0
Vodacom Device New Connections,\0,05-Apr,35,0,0,0,0,0,0,0
Vodacom Device New Connections,\0,10-Jun,73,0,0,0,0,0,0,0
Vodacom Add-On Lines,27770977266,1,356,0,0,0,0,0,0,0
Vodacom Add-On Lines,27770977266,10+,72,0,0,0,0,0,0,0
Vodacom Add-On Lines,27770977266,03-Feb,2434,0,0,0,0,0,0,0
Vodacom Add-On Lines,27770977266,05-Apr,2845,0,0,0,0,0,0,0
Vodacom Add-On Lines,27770977266,10-Jun,60,0,0,0,0,0,0,0
Vodacom Add-On Lines,27770977267,1,356,0,0,0,0,0,0,0
Vodacom Add-On Lines,27770977267,10+,111,0,0,0,0,0,0,0
Vodacom Add-On Lines,27770977267,03-Feb,2501,0,0,0,0,0,0,0
Vodacom Add-On Lines,27770977267,05-Apr,2637,0,0,0,0,0,0,0
Vodacom Add-On Lines,27770977267,10-Jun,57,0,0,0,0,0,0,0
